dates,campaign_id,campaign_name,creative_name,ad_id,total_spent,impressions,clicks,leads,platform,ad_set_name,ad_set_id,click_through_rate
2024-09-30,295024176,MBATech_FT&CS_Lead-Gen-2_150324,MBATech_Static-4_Salary,392278996,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-05,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Regula_VS_Tech_Static_240924,120212341312480229,256.78,3247.0,12.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3695719125346474
2024-11-05,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,1.2_Cr_Static_200924,120212285781150229,5879.27,78710.0,290.0,35.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.3684411129462584
2024-10-19,295014746,MBATech_AL&AI_Lead-Gen-2_150324,MBATech_Static-4_Salary,392279606,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-21,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-5_Job,392298726,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-25,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-5_Job,392298726,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-10-15,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-6_Business-Tech,392309066,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-05,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,Drive_Innovation_Static_240924,120212341302630229,245.91,4581.0,12.0,2.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.26195153896529144
2024-11-05,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,India's_First_Tech_MBA_Static_200924,120212285739390229,898.22,7260.0,61.0,7.0,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,0.8402203856749311
2024-10-24,295054696,MBATech_DP&PM_Lead-Gen-3_150324,MBATech_Static-3_YOU?,392309076,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-05,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,1.2_Cr_Static_200924,120212409341690229,5919.92,109872.0,301.0,37.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.27395514780835883
2024-09-26,295054646,MBATech_DP&PM_Lead-Gen-1_150324,MBATech_Static-4_Salary,392318576,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-11-05,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,Regula_VS_Tech_Static_240924,120212409196250229,241.91,1991.0,10.0,2.0,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,0.5022601707684581
2024-09-23,295034336,MBATech_AL&AI_Lead-Gen-1_150324,MBATech_Static-1_AI-revolution,392318886,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
2024-09-26,295004766,MBATech_AL&AI_Lead-Gen-3_150324,MBATech_Static-3_YOU?,392319116,0.0,0.0,0.0,0.0,LinkedIn,linkedin_ad,-1.0,-1.0
