dates,campaign_id,campaign_name,campaign_start_date,creative_name,ad_id,total_spent,impressions,clicks,click_through_rate,leads,platform,ad_set_name,ad_set_id,years_of_experience,age,location,member_interest,degree,field_of_study,member_skills,job_titles,exclude_location,upload_timestamp
30-09-2024,295024176,MBATech_FT&CS_Lead-Gen-2_150324,15-Mar-24,MBATech_Static-4_Salary,392278996,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
05-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,Regula_VS_Tech_Static_240924,120212341312480229,256.78,3247,12,1.10871574,2,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
05-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,1.2_Cr_Static_200924,120212285781150229,5879.27,78710,290,0.51962902,35,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
19-10-2024,295014746,MBATech_AL&AI_Lead-Gen-2_150324,15-Mar-24,MBATech_Static-4_Salary,392279606,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
21-10-2024,295054696,MBATech_DP&PM_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-5_Job,392298726,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
25-10-2024,295054696,MBATech_DP&PM_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-5_Job,392298726,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
15-10-2024,295054696,MBATech_DP&PM_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-6_Business-Tech,392309066,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
05-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,Drive_Innovation_Static_240924,120212341302630229,245.91,4581,12,0.50207378,2,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
05-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,India's_First_Tech_MBA_Static_200924,120212285739390229,898.22,7260,61,1.08815427,7,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
24-10-2024,295054696,MBATech_DP&PM_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-3_YOU?,392309076,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
05-11-2024,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,,1.2_Cr_Static_200924,120212409341690229,5919.92,109872,301,0.3968254,37,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,120212409143860229,,,,,,,,,,
26-09-2024,295054646,MBATech_DP&PM_Lead-Gen-1_150324,15-Mar-24,MBATech_Static-4_Salary,392318576,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
05-11-2024,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,,Regula_VS_Tech_Static_240924,120212409196250229,241.91,1991,10,1.10497238,2,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,120212409143860229,,,,,,,,,,
23-09-2024,295034336,MBATech_AL&AI_Lead-Gen-1_150324,15-Mar-24,MBATech_Static-1_AI-revolution,392318886,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
26-09-2024,295004766,MBATech_AL&AI_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-3_YOU?,392319116,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
05-11-2024,120212409143760229,MBA_Tech_C-2_Lead_Gen-3_260924,,India's_First_Tech_MBA_Static_200924,120212409290100229,1140.62,30699,128,0.53096192,4,Facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,120212409143860229,,,,,,,,,,
04-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,Regula_VS_Tech_Static_240924,120212341312480229,169.01,3321,8,0.87323095,4,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
04-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,1.2_Cr_Static_200924,120212285781150229,6525.72,105741,358,0.46907065,49,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
30-10-2024,295004766,MBATech_AL&AI_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-3_YOU?,392319116,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
17-10-2024,295004766,MBATech_AL&AI_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-2_2-million,392319126,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
30-10-2024,295044246,MBATech_FT&CS_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-4_Salary,392338416,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
04-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,India's_First_Tech_MBA_Static_200924,120212285739390229,702.38,5589,34,0.73358383,6,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
20-09-2024,295004766,MBATech_AL&AI_Lead-Gen-3_150324,15-Mar-24,MBATech_Static-4_Salary,392338946,0,0,0,0%,0,LinkedIn,,,,,,,,,,,,
04-11-2024,120212285593820229,MBA_Tech_C-2_Lead_Gen-2_210924,,Drive_Innovation_Static_240924,120212341302630229,195.1,4870,5,0.34907598,1,Facebook,Lookalike_Hot_Warm_Token_Enrol_210924,120212285593910229,,,,,,,,,,
